LOG_TIMESTAMP,SPS.T2:INTENSITY,XTIM.SX.WE-CT:Acquisition:acqC,UTC_DATE,CEST_DATE
1729880834.1899998,3197640400000.0,4455,2024-10-25 18:27:14.189999819+00:00,2024-10-25 20:27:14.189999819+02:00
1729880848.59,3143002800000.0,4455,2024-10-25 18:27:28.589999914+00:00,2024-10-25 20:27:28.589999914+02:00
1729880862.99,3157751600000.0,4455,2024-10-25 18:27:42.990000010+00:00,2024-10-25 20:27:42.990000010+02:00
1729880877.3899999,3148282200000.0,4455,2024-10-25 18:27:57.389999866+00:00,2024-10-25 20:27:57.389999866+02:00
1729880891.79,3152891200000.0,4455,2024-10-25 18:28:11.789999962+00:00,2024-10-25 20:28:11.789999962+02:00
1729880906.1899998,3142248600000.0,4455,2024-10-25 18:28:26.189999819+00:00,2024-10-25 20:28:26.189999819+02:00
1729880920.59,3161941600000.0,4455,2024-10-25 18:28:40.589999914+00:00,2024-10-25 20:28:40.589999914+02:00
1729880934.99,3156913600000.0,4455,2024-10-25 18:28:54.990000010+00:00,2024-10-25 20:28:54.990000010+02:00
1729880949.3899999,3130516600000.0,4455,2024-10-25 18:29:09.389999866+00:00,2024-10-25 20:29:09.389999866+02:00
1729880963.79,3188841400000.0,4455,2024-10-25 18:29:23.789999962+00:00,2024-10-25 20:29:23.789999962+02:00
1729880978.1899998,3182724000000.0,4455,2024-10-25 18:29:38.189999819+00:00,2024-10-25 20:29:38.189999819+02:00
1729880992.59,3157416400000.0,4455,2024-10-25 18:29:52.589999914+00:00,2024-10-25 20:29:52.589999914+02:00
1729881006.99,3205266200000.0,4455,2024-10-25 18:30:06.990000010+00:00,2024-10-25 20:30:06.990000010+02:00
1729881021.3899999,3173170800000.0,4455,2024-10-25 18:30:21.389999866+00:00,2024-10-25 20:30:21.389999866+02:00
1729881035.79,3167388600000.0,4455,2024-10-25 18:30:35.789999962+00:00,2024-10-25 20:30:35.789999962+02:00
